2025-10-28 09:30:38 | Exception: 400 Bad Request: Missing required parameter for API route /api/mail/sender/{param}. | File: C:\laragon\www\DocTruyenHay\src\Application\Router.php | Line: 718
2025-10-28 09:47:17 | Exception: Class "Craft\Application\Middleware" not found | File: C:\laragon\www\DocTruyenHay\app\Middleware\UserAuthencation.php | Line: 11
2025-10-28 09:47:35 | Exception: Class "Craft\Application\Router" not found | File: C:\laragon\www\DocTruyenHay\app\Router\web.php | Line: 16
2025-10-28 09:50:12 | Exception: Class "Craft\Application\View" not found | File: C:\laragon\www\DocTruyenHay\app\Controller\Controller.php | Line: 19
2025-10-28 09:50:28 | Exception: Class "Craft\Application\Router" not found | File: C:\laragon\www\DocTruyenHay\src\Application\helper\helper.php | Line: 102
2025-10-28 16:15:05 | Exception: Cannot throw objects that do not implement Throwable | File: C:\laragon\www\DocTruyenHay\app\Router\web.php | Line: 84
2025-10-28 16:16:24 | Exception:  | File: C:\laragon\www\DocTruyenHay\app\Router\web.php | Line: 84
2025-10-28 16:16:53 | Exception: syntax error, unexpected end of file | File: C:\laragon\www\DocTruyenHay\app\Router\web.php | Line: 89
2025-10-30 21:24:42 | Exception: Template not found: admin.dashboard | File: C:\laragon\www\DocTruyenHay\vendor\eftec\bladeone\lib\BladeOne.php | Line: 1434
2025-10-30 21:26:06 | Exception: Template not found: admin.login | File: C:\laragon\www\DocTruyenHay\vendor\eftec\bladeone\lib\BladeOne.php | Line: 1434
2025-10-30 21:26:26 | Exception: Template not found: client.detail | File: C:\laragon\www\DocTruyenHay\vendor\eftec\bladeone\lib\BladeOne.php | Line: 1434
2025-11-01 21:56:48 | Exception: 405 Method Not Allowed: The requested URL /api/demo exists but does not support GET method.Allowed: POST | File: C:\laragon\www\DocTruyenHay\src\Application\Router.php | Line: 693
